,Name,Games Played,Points,Age,Birth_Place,Birthdate,Collage,Experience,Height,Position,Team,Weight,BMI
455,Tony Snell,72,435,24.0,us,1991,University of New Mexico,1,197.5,SF,CHI,90.0,23.07322544
457,Toure' Murry,5,6,26.0,us,1989,Wichita State University,1,192.5,SG,WAS,87.75,23.68021589
459,Trevor Ariza,82,1048,30.0,us,1985,"University of California, Los Angeles",10,200.0,SF,HOU,96.75,24.1875
460,Trevor Booker,79,567,28.0,us,1987,Clemson University,4,200.0,PF,UTA,102.6,25.65
461,Trey Burke,76,973,23.0,us,1992,University of Michigan,1,182.5,PG,UTA,85.95,25.80596735
463,Troy Daniels,47,176,24.0,us,1991,Virginia Commonwealth University,1,190.0,SG,MIN,92.25,25.55401662
464,Ty Lawson,75,1143,28.0,us,1987,University of North Carolina,5,177.5,PG,DEN,87.75,27.85161674
465,Tyler Ennis,33,121,21.0,ca,1994,Syracuse University,R,187.5,PG,PHO,87.3,24.831999999999997
466,Tyler Hansbrough,74,270,30.0,us,1985,University of North Carolina,5,202.5,PF,TOR,112.5,27.43484225
467,Tyler Johnson,32,190,23.0,us,1992,"California State University, Fresno",R,190.0,SG,MIA,83.7,23.18559557
469,Tyreke Evans,79,1313,26.0,us,1989,University of Memphis,5,195.0,SG,NOH,99.0,26.03550296
472,Udonis Haslem,62,261,35.0,us,1980,University of Florida,11,200.0,PF,MIA,105.75,26.4375
473,Vander Blue,2,22,23.0,us,1992,Marquette University,1,190.0,SG,LAL,90.0,24.93074792
475,Victor Oladipo,72,1292,23.0,us,1992,Indiana University,1,190.0,SG,ORL,94.5,26.17728532
476,Vince Carter,66,384,38.0,us,1977,University of North Carolina,16,195.0,SG,MEM,99.0,26.03550296
477,Wayne Ellington,65,650,28.0,us,1987,University of North Carolina,5,190.0,SG,LAL,90.0,24.93074792
478,Wesley Johnson,76,753,28.0,us,1987,Syracuse University,4,197.5,SF,LAL,96.75,24.80371735
479,Wesley Matthews,60,956,29.0,us,1986,Marquette University,5,192.5,SG,POR,99.0,26.716140999999997
480,Will Barton,58,397,24.0,us,1991,University of Memphis,2,195.0,SG,POR,78.75,20.71005917
481,Will Bynum,7,22,32.0,us,1983,Georgia Institute of Technology,7,180.0,SG,WAS,83.25,25.69444444
482,Will Cherry,8,15,24.0,us,1991,University of Montana,R,180.0,PG,CLE,83.25,25.69444444
483,Willie Green,52,306,34.0,us,1981,University of Detroit Mercy,11,190.0,SG,ORL,90.0,24.93074792
484,Wilson Chandler,78,1085,28.0,us,1987,DePaul University,7,200.0,SF,DEN,101.25,25.3125
485,Xavier Henry,9,20,24.0,be,1991,University of Kansas,4,195.0,SF,LAL,99.0,26.03550296
486,Zach LaVine,77,778,20.0,us,1995,"University of California, Los Angeles",R,192.5,PG,MIN,85.05,22.95159386
487,Zach Randolph,71,1143,34.0,us,1981,Michigan State University,13,202.5,PF,MEM,117.0,28.53223594
